postIdFinal,reason
46235907,length
39353088,tokens+length
47002676,length
27763429,length
47287221,length
34376081,length
48432121,length
31887198,tokens
36566861,length
16334551,length
19144368,length
32434777,length
27774433,length
24715480,length
61745542,length
16815989,length
51758440,length
56545357,length
17769990,length
56254653,length
37898691,length
28865374,length
37350245,length
33895243,tokens+length
14396340,length
18314133,length
6873413,length
14006766,tokens+length
45855673,length
47975895,length
22008397,length
12731321,length
11108797,tokens
57645057,length
52140330,tokens+length
43129483,length
2745697,length
16575266,length
40126611,length
17670973,length
17670973,length
26911560,length
2430791,length
41841328,tokens+length
8037980,tokens
55409693,tokens
31010748,length
49371116,length
32131771,length
60395114,tokens+length
57630300,length
24371538,length
7284442,tokens+length
25987633,tokens+length
8355552,length
18411798,length
27319572,length
22260031,length
44712548,length
31290603,length
55548699,length
35702285,length
13679925,length
34035688,length
24371240,length
15771009,length
23270359,tokens+length
23270359,length
58978643,tokens+length
50011721,length
41750132,length
31737169,tokens+length
51410676,tokens+length
2995498,length
6618086,length
20980425,length
39843813,length
36421791,tokens
52070112,length
56581806,tokens+length
16543289,length
30727401,tokens+length
6527697,tokens+length
53649175,tokens
46735481,length
32420415,length
26608453,length
35125070,length
33210615,length
49496716,length
49159378,length
42624645,length
41826964,length
5054352,tokens+length
49003587,length
57930499,length
50906754,tokens+length
34413498,length
53119671,length
16286998,length
61996323,length
7915018,tokens+length
40973974,length
55979107,tokens
35747333,length
32211553,length
16404880,length
61434815,length
61434815,length
9758170,length
33539564,length
40997968,tokens+length
19241105,length
50010764,length
53810070,length
39019121,tokens
64675302,tokens
28675921,length
56821752,length
28376166,length
10049259,length
11434468,length
21341361,length
53470881,tokens+length
23688234,length
44740263,length
45687836,length
51127586,length
51127586,tokens
32653116,length
43581538,length
31960023,tokens
59713819,length
26854214,length
32017713,length
40080449,tokens
39643224,tokens
5305457,length
29267758,tokens
19033654,length
51801988,length
32731595,length
12142441,length
25073477,tokens
14906493,length
10141610,tokens+length
25868000,length
28773523,length
28773523,length
49727910,tokens
23672659,length
35335618,length
54055167,length
54055167,length
32994366,length
33149752,length
26900421,length
36956197,tokens
17391410,length
54017005,length
58146637,length
42948325,length
42948325,length
50996225,length
10951916,tokens+length
40967682,length
44055443,length
40335797,length
50446395,length
34201358,length
24805913,length
63831020,tokens+length
24976812,length
41935490,tokens+length
41935490,length
16838942,tokens
37234642,length
46796554,length
25929400,tokens+length
32010910,length
14232437,length
59230762,length
52994185,tokens
17015552,length
51061140,tokens+length
50218459,length
37283849,tokens
44526264,length
61385610,length
6680748,length
37832452,length
60093043,length
58848165,length
925096,length
38850981,length
63054710,tokens
47271700,length
3047201,tokens
25447278,tokens+length
33546931,tokens+length
48409801,length
33273005,length
60916362,length
61010009,tokens
2217883,length
51581421,length
47983462,length
33048165,length
14437156,tokens+length
1489402,length
49998976,tokens+length
24847190,tokens+length
35249527,length
50959466,tokens+length
55764226,tokens
64999067,length
32609345,length
34079877,length
31572986,length
8614579,length
27696036,tokens
57836505,length
44282940,length
31014301,length
20290822,tokens
35751236,length
45946495,length
41943923,length
37332885,length
41892499,length
8139675,tokens+length
9636400,length
9205740,length
51461891,length
51461891,tokens+length
16774214,length
30176398,length
4481198,length
29955431,length
61192459,tokens+length
25520749,length
14775009,length
14775009,length
55878664,length
55878664,tokens+length
45637352,tokens
46720299,length
1925057,length
11906092,tokens
40262378,length
35055690,length
52216217,length
40772290,length
21037436,length
55692208,length
42290171,tokens+length
6631571,length
8219214,length
26144760,length
23469754,length
40276245,length
48416358,length
16539635,length
34994393,length
19095540,length
18321333,tokens+length
21483634,length
48517637,length
16242037,length
50029436,tokens+length
30042148,length
47584888,length
48198963,length
57690984,length
38098707,length
47916749,length
17894080,length
54305342,tokens+length
26052766,length
26081529,length
23132480,length
45215705,tokens+length
40577490,length
38524603,tokens
55399523,length
56469055,length
45801450,tokens+length
8129559,length
41022410,length
9868375,length
20679391,length
24616970,length
32818171,length
18011511,tokens
27428308,length
18698325,length
51309375,length
2057134,length
43268739,length
17666207,length
21338748,tokens+length
12793825,tokens+length
48949479,tokens+length
23496186,length
46179751,tokens+length
33471744,length
46010987,tokens
62314667,length
53258034,length
47709631,length
39278927,length
21300174,length
3328379,length
33450961,length
8111232,length
54226051,length
45222638,length
62697137,tokens+length
29215081,length
29215081,length
40140553,length
39288408,length
10859078,length
10859078,length
32537897,length
50747259,length
61560265,tokens+length
56831345,length
48387350,length
14861605,length
25466120,length
25466120,length
18434643,tokens
62573904,length
46943629,length
